age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
56.0,3,1,0,0,0,0,1,6,1,261.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,7,1,3,1,0,0,1,6,1,149.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,7,1,3,0,2,0,1,6,1,226.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,0,1,1,0,0,0,1,6,1,151.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,7,1,3,0,0,2,1,6,1,307.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,7,1,2,1,0,0,1,6,1,198.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
59.0,0,1,5,0,0,0,1,6,1,139.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,1,1,7,1,0,0,1,6,1,217.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
24.0,9,2,5,0,2,0,1,6,1,380.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
25.0,7,2,3,0,2,0,1,6,1,50.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,1,1,7,1,0,0,1,6,1,55.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
25.0,7,2,3,0,2,0,1,6,1,222.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
29.0,1,2,3,0,0,2,1,6,1,137.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,3,0,0,0,2,0,1,6,1,293.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,1,1,1,0,2,0,1,6,1,146.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,5,1,2,1,2,2,1,6,1,174.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,1,1,1,0,2,0,1,6,1,312.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
46.0,1,1,1,1,2,2,1,6,1,440.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
50.0,1,1,2,0,2,2,1,6,1,353.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,4,2,2,1,0,0,1,6,1,195.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
30.0,10,1,3,0,0,0,1,6,1,38.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,1,1,0,1,2,0,1,6,1,262.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,5,2,3,0,2,0,1,6,1,342.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,9,2,3,0,2,0,1,6,1,181.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,0,1,3,0,2,0,1,6,1,172.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,9,1,6,0,0,2,1,6,1,99.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
59.0,9,1,7,0,2,0,1,6,1,93.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,6,1,2,1,0,0,1,6,1,233.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,9,2,6,1,0,0,1,6,1,255.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
